,SMILES,DOI,InChI_Key, construction, architecture, complement, HOMO_exp, LUMO_exp, electrochemical_gap_exp, optical_gap_exp, V_OC_exp, J_SC_exp, fill_factor_exp,HOMO_comp,LUMO_comp,electrochemical_gap_comp,optical_gap_comp,PCE_comp,V_OC_comp,J_SC_comp,fill_factor_comp,mol_obj,PCE_exp
202,Cc1c(C)c(-c2ccc(C3=S=C(c4ccc(C=C(C#N)C#N)s4)C(C)=C3C)s2)sc1-c1ccc(C=C(C#N)C#N)s1,10.1016/j.solmat.2010.07.003,DBDXWHKEUFCFIQ-UHFFFAOYSA-N,molecule,bilayer,C60,,,,,1.0,10.6,49.0,1.52257992364401,1.41343855701417,-1.36669778002188,-1.20908547012973,-0.185842887846878,1.47941258757724,0.414777542035662,-0.286895042063927,<rdkit.Chem.rdchem.Mol object at 0x00000227A66D2040>,3.4
110,COC(=O)c1cc2csc(-c3ccc(-c4ccc(-c5sc(-c6ccc(-c7sccc7C)s6)cc5C)s4)s3)c2s1,10.1039/C1EE01072G,ZUPGVWRMTGTJST-UHFFFAOYSA-N,polymer,bulk,PC61BM,,,,1.31,0.54,6.64,40.0,1.52257992364401,1.41343855701417,-1.36669778002188,0.29434337852058,-1.03258674359527,-0.994277419951625,-0.441210655196954,-0.868790092972288,<rdkit.Chem.rdchem.Mol object at 0x00000227A66D5190>,1.4
262,Cc1ccsc1-c1nc2sc(-c3sc(-c4ccc5c6ccccc6n(C)c5c4)cc3C)nc2s1,10.1002/adma.201200721,HITOUVGJLQROTR-UHFFFAOYSA-N,polymer,bulk,PC71BM,-5.31,-3.24,2.07,2.07,0.86,9.15,62.0,-0.670137625553986,-0.606817695878095,0.856500185678006,1.16656164185969,0.440747565406929,0.7265504113728,0.101347520321699,0.553620031470374,<rdkit.Chem.rdchem.Mol object at 0x00000227A66C3350>,4.88
280,Cc1csc(-c2ccc(C3=C4C(=O)N(C)C(c5ccc(-c6cc(C)cs6)s5)=C4C(=O)N3C)s2)c1,10.1039/C1EE01072G,YVMANOBWZQKSOU-UHFFFAOYSA-N,polymer,bulk,PC71BM,-5.1,-3.4,1.7,1.4,0.61,11.3,58.0,-0.583419982365364,-0.706583436761663,0.45911697441764,0.397632383389685,0.0681802688776386,-0.617846331849407,0.566088587001024,0.295000008844435,<rdkit.Chem.rdchem.Mol object at 0x00000227A3CBF190>,4.0
153,COc1c2sccc2c2cc(-c3cc(C)c(-c4nc5sc(-c6sccc6C)nc5s4)s3)sc2c1OC,10.1002/adma.201200721,QEVJWBKFMQSRPS-UHFFFAOYSA-N,polymer,bulk,PC71BM,-5.19,-2.9,2.29,1.91,0.9,5.5,68.7,-0.62058468658906,-0.394815496500512,1.09278209507606,0.982936744314613,-0.185842887846878,0.941653890288354,-0.687631499854829,0.986808569368821,<rdkit.Chem.rdchem.Mol object at 0x00000227A66E25F0>,3.4
19,C=Cc1ccc2c3ccccc3n(-c3ccc(OC)cc3)c2c1,10.1039/C1EE01072G,BMTWSMNBSLIQLR-UHFFFAOYSA-N,polymer,bulk,PC61BM,-5.61,-2.83,2.78,2.78,0.85,0.89,46.0,-0.794019972966302,-0.351167984863951,1.61904634782628,1.98139712471596,-1.45595867146946,0.672774541643912,-1.68412281026957,-0.480860059033381,<rdkit.Chem.rdchem.Mol object at 0x00000227A66DAB30>,0.4
148,COc1c2ccsc2c(OC)c2cc(-c3scc4cc(C(C)=O)sc43)sc21,10.1039/C1EE01072G,LMFYGHWXRNJQJH-UHFFFAOYSA-N,polymer,bulk,PC71BM,-5.07,-3.21,1.86,1.605,0.7,14.7,64.0,-0.571031747624133,-0.588111619462426,0.630958363070771,0.632901783369313,1.16894728135054,-0.133863504289413,1.30102794826135,0.682930042783343,<rdkit.Chem.rdchem.Mol object at 0x00000227A66E27B0>,6.6
79,CN1C(=O)C2=C(c3ccc(-c4ccc(C(F)(F)F)cc4)s3)N(C)C(=O)C2=C1c1ccc(-c2ccc(C(F)(F)F)cc2)s1,10.1039/c1ee01544c,DHGNQNQFUASMGL-UHFFFAOYSA-N,molecule,bilayer,C60,-5.24,-3.5,1.74,1.77,0.48,1.91,35.0,-0.641231744491112,-0.768937024813894,0.502077321580922,0.822264958962672,-1.49829586425688,-1.31693263832495,-1.46364100189147,-1.19206512125471,<rdkit.Chem.rdchem.Mol object at 0x00000227A66CC350>,0.3
124,COc1c(OC)c(-c2ccc(-c3ccc4c(c3)C(C)(C)c3ccccc3-4)s2)c2nsnc2c1-c1cccs1,10.1021/ma201477b,ZXPUXXOBHOHSCO-UHFFFAOYSA-N,polymer,bulk,PC71BM,,,,2.04,0.97,6.7,47.0,1.52257992364401,1.41343855701417,-1.36669778002188,1.13213197356999,-0.312854466209136,1.31808497839057,-0.428241137057066,-0.416205053376896,<rdkit.Chem.rdchem.Mol object at 0x00000227A3CA8430>,3.1
18,C=Cc1ccc2c3ccc(C=Cc4sc(-c5ccc(-c6ccc(-c7cc(C)cs7)s6)s5)cc4C)cc3n(-c3ccc(OC)cc3)c2c1,10.1039/C1EE01072G,NUIVFCQTRVSXQD-AWQADKOQSA-N,polymer,bulk,PC61BM,-5.4,-2.96,2.44,2.44,0.5,0.76,43.0,-0.707302329777681,-0.43222764933185,1.25388339693837,1.59119421743268,-1.5406330570443,-1.20938089886718,-1.71222343290599,-0.674825076002835,<rdkit.Chem.rdchem.Mol object at 0x00000227A66DAAC0>,0.2
132,COc1c2cc(-c3cccs3)sc2c(OC)c2cc(-c3ccc(-c4ccc5c(c4)N(C)C(=O)C5=C4c5ccccc5N(C)C4=O)s3)sc21,10.1039/C3PY01598J,DGLVFYYUTRYGAX-ZMFPCWMMSA-N,polymer,bulk,PC71BM,-5.78,-3.91,1.87,1.61,0.79,7.87,68.0,-0.864219969833281,-1.02458673582804,0.641698449861592,0.638640061417596,0.161322093009961,0.350119323270583,-0.175335533329248,0.941550065409281,<rdkit.Chem.rdchem.Mol object at 0x00000227A66CE430>,4.22
104,COC(=O)c1cc2c(-c3cccs3)sc(-c3ccc(-c4cc5c(s4)c(-c4ccc(C)s4)c4ccsc4c5-c4ccc(C)s4)s3)c2s1,10.1021/ar5000743,VKIHBOWYNZFSJF-UHFFFAOYSA-N,polymer,bulk,PC71BM,-4.9,-3.1,1.8,1.61,0.56,12.2,66.7,-0.500831750757154,-0.519522672604972,0.566517842325847,0.638640061417596,0.279866232814735,-0.886725680493848,0.760631359099345,0.857498558055851,<rdkit.Chem.rdchem.Mol object at 0x00000227A66D5EB0>,4.5
275,Cc1csc(-c2ccc(-c3cc(C)c(-c4cc5c(s4)c(-c4ccc(C)cc4)c4ccsc4c5-c4ccc(C)cc4)s3)c3nsnc32)c1,10.1021/ar5000743,ABJPWIKLYFSDQY-UHFFFAOYSA-N,polymer,bulk,PC71BM,-5.35,-3.34,2.01,1.7,0.88,12.94,70.9,-0.686655271875628,-0.669171283930325,0.792059664933082,0.741929066286701,1.79130401532561,0.834102150830577,0.920588749491299,1.12904958181309,<rdkit.Chem.rdchem.Mol object at 0x00000227A66D3740>,8.07
118,COC(=O)c1sc2csc(-c3sc4c(c3F)c(OC)c3scc(F)c3c4OC)c2c1F,10.1021/ja108601g,HBMYWBAPVYGVAQ-UHFFFAOYSA-N,polymer,bulk,PC61BM,-5.48,-3.59,1.89,1.73,0.75,9.1,39.4,-0.740337622420965,-0.825055254060901,0.663178623443233,0.776358734576403,-0.482203237358813,0.135015844355029,0.0905395885384589,-0.907583096366179,<rdkit.Chem.rdchem.Mol object at 0x00000227A3CA8270>,2.7
31,CC1(C)c2cc(-c3ccc(-c4ccc(-c5ccc(C=C(C#N)C#N)s5)s4)s3)ccc2-c2ccc(N(c3ccccc3)c3ccccc3)cc21,10.1039/B908802D,CSLGBGAWQKFLJF-UHFFFAOYSA-N,molecule,bilayer,PC61BM,,,,,0.89,6.25,38.0,1.52257992364401,1.41343855701417,-1.36669778002188,-1.20908547012973,-0.727758955525846,0.887878020559465,-0.525512523106227,-0.998100104285258,<rdkit.Chem.rdchem.Mol object at 0x00000227A66CD7B0>,2.12
36,CC1(C)c2cc(-c3ccc(-c4ccc(C=C(C#N)C(=O)O)s4)s3)ccc2-c2ccc(N(c3ccccc3)c3cccc4ccccc43)cc21,10.1039/B908802D,HPIFLXJYNDVEOP-GDWJVWIDSA-N,molecule,DSSC,TiO2,,,,,0.62,13.4,62.0,1.52257992364401,1.41343855701417,-1.36669778002188,-1.20908547012973,0.787912546263768,-0.564070462120519,1.02002172189711,0.553620031470374,<rdkit.Chem.rdchem.Mol object at 0x00000227A66CDDD0>,5.7
152,COc1c2sc(-c3ccc(C4=C5C(=O)N(C)C(c6cccs6)=C5C(=O)N4C)s3)cc2cc2c1cc1cc(-c3ccc(C4=C5C(=O)N(C)C(c6cccs6)=C5C(=O)N4C)s3)sc1c2OC,10.1021/ja202791n,OOYNKIWTTXRXBQ-UHFFFAOYSA-N,molecule,bulk,PC61BM,-5.4,-3.68,1.72,1.72,0.84,11.27,42.0,-0.707302329777681,-0.881173483307908,0.480597147999281,0.764882178479836,0.09358258455009,0.618998671915024,0.559603827931079,-0.739480081659319,<rdkit.Chem.rdchem.Mol object at 0x00000227A66E2510>,4.06
175,COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3sc(-c4cc5sc(C=C(C#N)C(=O)O)cc5s4)c4c3OCCO4)cc2)cc1,10.1039/B908802D,YUZJOCZUKOBLAL-QVAGMWBUSA-N,molecule,DSSC,TiO2,,,,,0.803,16.1,75.9,1.52257992364401,1.41343855701417,-1.36669778002188,-1.20908547012973,2.52373745054796,0.420027953918137,1.60365003819207,1.45232461009551,<rdkit.Chem.rdchem.Mol object at 0x00000227A66CB120>,9.8
261,Cc1ccsc1-c1nc2sc(-c3sc(-c4cc5c(s4)c(C#C[Si](C)(C)C)c4ccsc4c5C#C[Si](C)(C)C)cc3C)nc2s1,10.1002/adma.201200721,DQCFBAYPNUAZFS-UHFFFAOYSA-N,polymer,bulk,PC71BM,-5.3,-3.0,2.3,1.94,0.89,9.77,49.8,-0.666008213973575,-0.457169084552742,1.10352218186688,1.01736641260431,0.207893005076123,0.887878020559465,0.235365874433876,-0.235171037538739,<rdkit.Chem.rdchem.Mol object at 0x00000227A66C3430>,4.33
247,Cc1ccc(C2(c3ccc(C)cc3)c3ccsc3-c3cc4c(cc32)-c2sc(-c3ccc(-c5ccc(-c6ccc(-c7ccc(-c8cccs8)s7)c7nsnc76)s5)s3)cc2C4(c2ccc(C)cc2)c2ccc(C)cc2)cc1,10.1021/ar900061z,QIEYQMXLTIZOAA-UHFFFAOYSA-N,polymer,bulk,PC61BM,-5.46,-3.56,1.9,1.76,0.84,8.7,53.0,-0.732078799260144,-0.806349177645232,0.673918710234054,0.810788402866105,0.0131419182539934,0.618998671915024,0.0040761342725379,-0.0282750194379882,<rdkit.Chem.rdchem.Mol object at 0x00000227A66D96D0>,3.87
314,Cn1c2cc(C=C(C#N)C#N)sc2c2sc(C=C(C#N)C#N)cc21,10.1016/j.solmat.2010.08.032,RDSFDDGWYBBTAF-UHFFFAOYSA-N,molecule,bulk,C60,,,,2.0,0.515,1.21,39.0,1.52257992364401,1.41343855701417,-1.36669778002188,1.08622574918372,-1.52369817992933,-1.12871709427385,-1.61495204685683,-0.933445098628773,<rdkit.Chem.rdchem.Mol object at 0x00000227A8373430>,0.24
167,COc1ccc(C=Cc2ccc(C=Cc3cc(OC)c(C=Cc4ccc(C=Cc5cc(OC)c(C=Cc6ccc(C=Cc7cc(OC)c(C=O)cc7OC)s6)cc5OC)s4)cc3OC)s2)cc1,10.1016/j.solmat.2010.07.003,BQAFSXWNOWNICD-RIOMDXIUSA-N,molecule,bulk,PC61BM,,,,,0.51,3.93,38.0,1.52257992364401,1.41343855701417,-1.36669778002188,-1.20908547012973,-1.28237618104104,-1.15560502913829,-1.02700055784857,-0.998100104285258,<rdkit.Chem.rdchem.Mol object at 0x00000227A66D8350>,0.81
59,CC1(C)c2ccccc2-c2ccc(N(c3ccc(-c4ccc(C=CC=C(C#N)C(=O)O)s4)cc3)c3ccc4c(c3)C(C)(C)c3ccccc3-4)cc21,10.1039/B908802D,KBICWRPNWAZREG-JTQICZAZSA-N,molecule,DSSC,TiO2,,,,,0.69,10.47,71.0,1.52257992364401,1.41343855701417,-1.36669778002188,-1.20908547012973,0.542356828096736,-0.187639374018301,0.386676919399238,1.13551508237874,<rdkit.Chem.rdchem.Mol object at 0x00000227A66E0430>,5.12
111,COC(=O)c1cc2csc(-c3ccc(-c4ccc(-c5sccc5C)s4)s3)c2s1,10.1039/C1EE01072G,GBXWVINFJKULLR-UHFFFAOYSA-N,polymer,bulk,PC61BM,,,,1.27,0.51,6.61,37.0,1.52257992364401,1.41343855701417,-1.36669778002188,0.248437154134311,-1.07492393638268,-1.15560502913829,-0.447695414266898,-1.06275510994174,<rdkit.Chem.rdchem.Mol object at 0x00000227A66D5970>,1.3
225,Cc1cc[se]c1,10.1039/b9py00325h,QOWHXTFXZSVAPI-UHFFFAOYSA-N,polymer,bulk,PC61BM,-4.8,-3.0,1.8,1.6,0.52,,,-0.459537634953048,-0.457169084552742,0.566517842325847,0.627163505321029,-0.482203237358813,-1.1018291594094,-1.87650399601124,-3.45499031923167,<rdkit.Chem.rdchem.Mol object at 0x00000227A3C94DD0>,2.7
6,C(=Cc1ccc(-c2ccc(N(c3ccc(-c4ccc(C=Cc5cccs5)s4)cc3)c3ccc(-c4ccc(C=Cc5cccs5)s4)cc3)cc2)s1)c1cccs1,10.1021/ja058178e,NRVOTDCCVLSTHD-IKVQWSBMSA-N,molecule,bilayer,PC61BM,,,,,0.48,2.33,41.0,1.52257992364401,1.41343855701417,-1.36669778002188,-1.20908547012973,-1.43055635579701,-1.31693263832495,-1.37285437491225,-0.804135087315804,<rdkit.Chem.rdchem.Mol object at 0x00000227A66DA580>,0.46
258,Cc1ccsc1-c1ccc(-c2sc(-c3ccc4c(c3)N(C)C(=O)C4=C3c4ccccc4N(C)C3=O)cc2C)s1,10.1021/ja206610u,IEBLRRZQKHCVFI-APEFZGCFSA-N,polymer,bulk,PC71BM,-5.82,-3.83,1.99,1.5,0.7,13.1,69.0,-0.880737616154923,-0.974703865386254,0.77057949135144,0.512397944355357,1.04193570298828,-0.133863504289413,0.955174131197667,1.00620507106577,<rdkit.Chem.rdchem.Mol object at 0x00000227A66C3660>,6.3
237,Cc1ccc(-c2ccc(-c3ccc(-c4ccc(N(c5ccc(-c6ccc(-c7ccc(-c8ccc(C)s8)s7)s6)cc5)c5ccc(-c6ccc(-c7ccc(-c8ccc(C)s8)s7)s6)cc5)cc4)s3)s2)s1,10.1016/j.solmat.2010.07.003,POSVHDFEGLISRM-UHFFFAOYSA-N,molecule,bilayer,C60,,,,,0.68,1.73,29.0,1.52257992364401,1.41343855701417,-1.36669778002188,-1.20908547012973,-1.47289354858443,-0.241415243747189,-1.50254955631113,-1.57999515519362,<rdkit.Chem.rdchem.Mol object at 0x00000227A66D9CF0>,0.36
10,C=Cc1cc(OC)c(C=Cc2cc(C=C(C#N)c3ccc([N+](=O)[O-])cc3)ccc2C=C(C#N)c2ccc([N+](=O)[O-])cc2)cc1OC,10.1021/ma100943t,QTRLHXBHNFQDEI-JJRGDJCYSA-N,polymer,bulk,PC61BM,-5.3,-3.6,1.7,1.64,0.92,7.0,53.0,-0.666008213973575,-0.831290612866124,0.45911697441764,0.673069729707298,-0.207011484240587,1.04920562974613,-0.363393546357625,-0.0282750194379882,<rdkit.Chem.rdchem.Mol object at 0x00000227A4643EB0>,3.35
292,Cc1nc(-c2nc(C)c(-c3ccc(-c4ccc(-c5ccc(N(c6ccccc6)c6ccccc6)cc5)s4)s3)s2)sc1-c1ccc(-c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)s2)s1,10.1002/adma.201200721,AKMXAROGBREUIU-UHFFFAOYSA-N,molecule,bulk,PC71BM,-5.22,-2.81,2.41,2.03,0.84,7.72,40.2,-0.632972921330291,-0.338697267253505,1.22166313656591,1.12065541747342,-0.520306710867491,0.618998671915024,-0.207759328678968,-0.855859091840991,<rdkit.Chem.rdchem.Mol object at 0x00000227A66E1120>,2.61
103,COC(=O)c1cc2c(-c3cccs3)sc(-c3ccc(-c4cc5c(s4)c(-c4cc(F)c(C)s4)c4ccsc4c5-c4cc(F)c(C)s4)s3)c2s1,10.1021/ar5000743,QJTBYOOWUKJOHK-UHFFFAOYSA-N,polymer,bulk,PC71BM,-5.15,-3.27,1.88,1.64,0.74,14.4,67.7,-0.604067040267417,-0.625523772293764,0.652438536652412,0.673069729707298,1.42297043807506,0.0812399746261409,1.23618035756191,0.922153563712336,<rdkit.Chem.rdchem.Mol object at 0x00000227A66D1EB0>,7.2
81,CN1C(=O)C2=C(c3ccc(-c4ccc5ccccc5c4)s3)N(C)C(=O)C2=C1c1cccs1,10.1039/c1ee01213d,WZUDXRGQLGBIGI-UHFFFAOYSA-N,polymer,bulk,PC71BM,-5.29,-3.3,1.99,1.5,0.76,11.8,52.0,-0.661878802393165,-0.644229848709433,0.77057949135144,0.512397944355357,0.364540618389574,0.188791714083918,0.674167904833425,-0.0929300250944728,<rdkit.Chem.rdchem.Mol object at 0x00000227A66CCC10>,4.7
250,Cc1ccc(C2(c3ccc(C)cc3)c3ccsc3-c3cc4c(cc32)-c2sc(-c3ccc(-c5cccs5)s3)cc2C4(c2ccc(C)cc2)c2ccc(C)cc2)cc1,10.1021/ar900061z,ZXMPEKZEFIBMLZ-UHFFFAOYSA-N,polymer,bulk,PC71BM,-5.18,-3.07,2.11,2.11,0.79,7.0,49.0,-0.616455275008649,-0.500816596189303,0.899460532841289,1.21246786624596,-0.477969518080071,0.350119323270583,-0.363393546357625,-0.286895042063927,<rdkit.Chem.rdchem.Mol object at 0x00000227A66C3E40>,2.71
337,N#CC(=Cc1ccc(-c2ccc(-c3ccc(C=C(C#N)c4ccc([N+](=O)[O-])cc4)s3)c3c2C(=O)OC3=O)s1)c1ccc([N+](=O)[O-])cc1,10.1021/jp101945z,BZAMMPOBDDSWKH-YHARCJFQSA-N,molecule,DSSC,TiO2,-5.4,-3.7,1.7,1.64,0.67,11.24,60.0,-0.707302329777681,-0.893644200918354,0.45911697441764,0.673069729707298,0.288333671372219,-0.295191113476077,0.553119068861135,0.424310020157404,<rdkit.Chem.rdchem.Mol object at 0x00000227A839C890>,4.52
176,COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3sc(C=C(C#N)C(=O)O)c4c3OCCO4)cc2)cc1,10.1039/c1ee01849c,YJKWLTJYYXDSRB-KDJFERLWSA-N,molecule,DSSC,TiO2,,,,,0.78,11.63,75.0,1.52257992364401,1.41343855701417,-1.36669778002188,-1.20908547012973,1.25362166692538,0.296343453541694,0.637420936770408,1.39413510500467,<rdkit.Chem.rdchem.Mol object at 0x00000227A66CBCF0>,6.8
180,COc1ccc(N(c2ccc(OC)cc2)c2cccc(-n3c4ccccc4c4ccc(-c5ccc(-c6c7nsnc7c(-c7cccs7)c7nc(-c8ccccc8)c(-c8ccccc8)nc76)s5)cc43)c2)cc1,10.1039/C1EE01072G,GWHMXSLQGGWQLD-UHFFFAOYSA-N,polymer,bulk,PC61BM,,,,1.1,0.41,5.16,29.0,1.52257992364401,1.41343855701417,-1.36669778002188,0.0533357004926682,-1.37128428589462,-1.69336372642717,-0.761125435980861,-1.57999515519362,<rdkit.Chem.rdchem.Mol object at 0x00000227A66CBEB0>,0.6
238,Cc1ccc(-c2ccc(-c3ccc(C4=C5C(=O)N(C)C(c6ccc(-c7ccc(C8=S=C(C)C=C8)s7)s6)=C5C(=O)N4C)s3)s2)s1,10.1021/cm102189g,GLHOKMYMUKAXAC-UHFFFAOYSA-N,molecule,bulk,PC71BM,,,,,0.75,9.2,44.0,1.52257992364401,1.41343855701417,-1.36669778002188,-1.20908547012973,-0.355191658996555,0.135015844355029,0.112155452104939,-0.61017007034635,<rdkit.Chem.rdchem.Mol object at 0x00000227A66D9510>,3.0
253,Cc1ccc(C2(c3ccc(C)cc3)c3ccsc3-c3cc4c(cc32)-c2sc(-c3cccs3)cc2C4(c2ccc(C)cc2)c2ccc(C)cc2)cc1,10.1021/ar900061z,MXGYUFORMYJFBO-UHFFFAOYSA-N,polymer,bulk,PC71BM,-5.1,-3.02,2.08,2.08,0.8,7.6,54.0,-0.583419982365364,-0.469639802163188,0.867240272468827,1.17803819795626,-0.236647519191781,0.403895192999471,-0.233698364958744,0.0363799862184964,<rdkit.Chem.rdchem.Mol object at 0x00000227A66C3BA0>,3.28
92,CN1c2ccccc2Sc2cc(C=Cc3ccsc3-c3cccs3)ccc21,10.1021/jp803187u,NRLSYRUAQJFJBD-JQIJEIRASA-N,polymer,bulk,PC61BM,-4.99,-2.99,2.0,,0.73,4.03,34.0,-0.537996454980849,-0.450933725747519,0.781319578142261,-1.20908547012973,-1.20193551474494,0.0274641048972525,-1.00538469428209,-1.2567201269112,<rdkit.Chem.rdchem.Mol object at 0x00000227A66D1190>,1.0
69,CC1(C)c2ccsc2-c2sc(-c3cccc4nsnc43)cc21,10.1038/ncomms2411,OYDUUJTZFHWCRG-UHFFFAOYSA-N,polymer,bulk,PC71BM,-5.15,-3.56,1.62,1.365,0.62,11.0,50.0,-0.604067040267417,-0.806349177645232,0.373196280091074,0.357464437051699,-0.185842887846878,-0.564070462120519,0.501240996301583,-0.222240036407442,<rdkit.Chem.rdchem.Mol object at 0x00000227A66E0C10>,3.4
285,Cc1csc(-c2sc(-c3cc(C)c(-c4cccs4)s3)c3sc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc23)c1,10.1039/C1EE01072G,LFTMBZYBNDYKEG-UHFFFAOYSA-N,polymer,bulk,PC61BM,-4.92,,,1.62,0.59,10.2,40.0,-0.509090573917975,1.41343855701417,-1.36669778002188,0.650116617514164,-0.609214815721072,-0.725398071307184,0.328314087769741,-0.868790092972288,<rdkit.Chem.rdchem.Mol object at 0x00000227A3CBF040>,2.4
96,COC(=O)C(C#N)=Cc1cc(C)c(-c2cc(C)c(-c3ccc(-c4sc(-c5sc(-c6cc7c(s6)c(OC)c6cc(-c8cc(C)c(-c9cc(C)c(-c%10ccc(-c%11sc(-c%12sc(C=C(C#N)C(=O)OC)cc%12C)cc%11C)s%10)s9)s8)sc6c7OC)cc5C)cc4C)s3)s2)s1,10.1021/ar400088c,IGPMNVDQTHORMH-SSMSOEPNSA-N,molecule,bulk,PC61BM,-4.98,-3.25,1.73,1.79,0.79,9.51,68.3,-0.533867043400438,-0.613053054683318,0.491337234790102,0.845218071155806,0.546590547375478,0.350119323270583,0.179164629161028,0.960946567106226,<rdkit.Chem.rdchem.Mol object at 0x00000227A66D1CF0>,5.13
143,COc1c2ccsc2c(OC)c2cc(-c3sc(-c4ccc(-c5cc(C)cs5)c5nsnc54)cc3C)sc21,10.1021/ar5000743,CAXXBUJLCABBMA-UHFFFAOYSA-N,polymer,bulk,PC71BM,-5.24,-3.71,1.53,1.72,0.79,13.56,69.1,-0.641231744491112,-0.899879559723577,0.276535498973687,0.764882178479836,1.5076448236499,0.350119323270583,1.05460710360348,1.01267057163141,<rdkit.Chem.rdchem.Mol object at 0x00000227A66CE970>,7.4
271,Cc1csc(-c2cc(C)c(-c3scc4c3C(=O)N(C)C4=O)s2)c1,10.1002/adma.201101274,XSZOPHXPCZVFBR-UHFFFAOYSA-N,polymer,bulk,PC71BM,,,,,0.94,9.1,58.0,1.52257992364401,1.41343855701417,-1.36669778002188,-1.20908547012973,0.491552196751832,1.15675736920391,0.0905395885384589,0.295000008844435,<rdkit.Chem.rdchem.Mol object at 0x00000227A66D3AC0>,5.0
97,COC(=O)C(C#N)=Cc1cc(C)c(-c2cc(C)c(-c3ccc(-c4sc(-c5sc(C=C(C#N)C(=O)OC)cc5C)cc4C)s3)s2)s1,10.1021/ar400088c,MILFULBMHTZPQY-QRSJWUFXSA-N,molecule,bulk,PC61BM,-5.25,-3.23,2.02,1.8,0.88,7.02,53.0,-0.645361156071523,-0.600582337072872,0.802799751723902,0.856694627252373,-0.240881238470523,0.834102150830577,-0.359070373644329,-0.0282750194379882,<rdkit.Chem.rdchem.Mol object at 0x00000227A66D17B0>,3.27
193,C[Si](C)(C)C#Cc1c2ccccc2c2ccc3c(C#C[Si](C)(C)C)c4ccccc4c4ccc1c2c34,10.1021/cm102189g,NHERTKKOUMLJCY-UHFFFAOYSA-N,molecule,bulk,PC61BM,,,,,0.83,6.55,41.0,1.52257992364401,1.41343855701417,-1.36669778002188,-1.20908547012973,-0.672720604902201,0.565222802186135,-0.460664932406786,-0.804135087315804,<rdkit.Chem.rdchem.Mol object at 0x00000227A66D2F20>,2.25
68,CC1(C)c2ccsc2-c2sc(-c3ccc(-c4nc5sc(-c6cccs6)nc5s4)s3)cc21,10.1002/adma.201200721,NJRLHLKTLARZBZ-UHFFFAOYSA-N,polymer,bulk,PC61BM,-5.06,-3.46,1.6,1.79,0.692,7.14,45.0,-0.566902336043722,-0.743995589593002,0.351716106509432,0.845218071155806,-0.681188043459685,-0.176884200072523,-0.333131337364553,-0.545515064689865,<rdkit.Chem.rdchem.Mol object at 0x00000227A66E0190>,2.23
23,CC(=O)c1cc2csc(-c3cc4c(s3)c(-c3ccc(C)s3)c3ccsc3c4-c3ccc(C)s3)c2s1,10.1002/anie.201103313,PSANYSZMGMJDJZ-UHFFFAOYSA-N,polymer,bulk,PC71BM,-5.11,-3.25,1.86,1.58,0.74,17.48,58.7,-0.587549393945775,-0.613053054683318,0.630958363070771,0.604210393127895,1.58808548994599,0.0812399746261409,1.9019489554095,0.340258512803974,<rdkit.Chem.rdchem.Mol object at 0x00000227A56C0C80>,7.59
37,CC1(C)c2cc(-c3ccc(C=C(C#N)C(=O)O)s3)ccc2-c2c1c1c(c3c2C(C)(C)c2cc(N(c4ccccc4)c4ccccc4)ccc2-3)C(C)(C)c2cc(N(c3ccccc3)c3ccccc3)ccc2-1,10.1039/B908802D,YMDMSRVKGRZHLS-VSMFVEQNSA-N,molecule,DSSC,TiO2,,,,,0.731,7.89,74.0,1.52257992364401,1.41343855701417,-1.36669778002188,-1.20908547012973,0.182490689403671,0.0328416918701414,-0.171012360615952,1.32948009934819,<rdkit.Chem.rdchem.Mol object at 0x00000227A66CD5F0>,4.27
144,COc1c2ccsc2c(OC)c2cc(-c3sc(-c4sc(-c5cc(C)cs5)c5c4C(=O)N(C)C5=O)cc3C)sc21,10.1039/C1EE01072G,WOWIBLFSUKCZNA-UHFFFAOYSA-N,polymer,bulk,PC61BM,-5.695,-3.805,1.89,1.875,0.92,2.3,34.0,-0.829119971399792,-0.959115468373196,0.663178623443233,0.942768797976627,-0.312854466209136,1.04920562974613,-1.3793391339822,-1.2567201269112,<rdkit.Chem.rdchem.Mol object at 0x00000227A66CEB30>,3.1
122,COc1c(OC)c(-c2ccc(-c3cc4c(s3)c(-c3ccc(C)s3)c3ccsc3c4C3=S=C(C)C=C3)s2)c2nsnc2c1-c1cccs1,10.1021/ar5000743,MBZDNCWHVNANOX-UHFFFAOYSA-N,polymer,bulk,PC71BM,-5.27,-3.48,1.79,1.79,0.96,9.1,51.8,-0.653619979232344,-0.756466307203448,0.555777755535026,0.845218071155806,0.449215003964413,1.26430910866168,0.0905395885384589,-0.10586102622577,<rdkit.Chem.rdchem.Mol object at 0x00000227A3CA8A50>,4.9
